x,y
Ag1,0.2276773377777559
Au1,0.8778479927777383
Ba1,-3.499214662222215
Be1,0.9577917577777555
Bi1,-0.859200362222218
Ca1,-2.3637416572222563
Cd1,-0.2946295572222084
Ce1,-2.497396657222211
Co1,1.8035678427777384
Cr1,0.7138891577777784
Dy1,-2.151382272222236
Er1,-1.9905618822222595
Eu1,-2.667256137222239
Fe1,1.4050259577777524
Ga1,-0.1440472422222143
Ge1,0.1052085327777803
Hf1,-0.5466182772222652
Ho1,-2.071242737222242
In1,-0.5828422722222086
Ir1,2.437454892777744
K1,-2.88945120222224
La1,-2.991758262222234
Li1,-0.7055715022222273
Lu1,-1.7599271372222276
Mg1,-0.628710732222224
Mn1,0.8674284277777815
Mo1,1.431591617777784
Na1,-1.66635523722222
Nb1,0.4746502227777896
Nd1,-2.68654602222221
Ni1,1.477855482777784
Os1,2.63138625277778
Pb1,-1.1356529722222248
Pd1,1.1339081927777812
Pr1,-2.7885427122222453
Pt1,1.8326858227777407
Rb1,-3.2112997072222527
Re1,2.4022027527777894
Rh1,1.817698657777747
Ru1,2.1114905427777657
Sb1,-0.2363821372222432
Sc1,-1.180316472222259
Sm1,-2.4990042772222125
Sn1,-0.5777803572222453
Sr1,-3.0748320422222406
Ta1,0.7283558727777759
Tb1,-2.2335116822222503
Tc1,1.9777784677777674
Te1,-0.138512922222219
Ti1,0.0724769177777915
Tl1,-0.9710751872222474
Tm1,-1.9155882272222229
V1,0.8040709427777486
W1,1.7564651777777627
Y1,-2.1660159422222094
Zn1,0.2283975627777437
Zr1,-0.832910067222258
