structure,Energy_fromOmega
Al8Cu4Ag,0.2276773377777559
Al8Cu4Au,0.8778479927777383
Al8Cu4Ba,-3.499214662222215
Al8Cu4Be,0.9577917577777555
Al8Cu4Bi,-0.859200362222218
Al8Cu4Ca,-2.3637416572222563
Al8Cu4Cd,-0.2946295572222084
Al8Cu4Ce,-2.497396657222211
Al8Cu4Co,1.8035678427777384
Al8Cu4Cr,0.7138891577777784
Al8Cu4Dy,-2.151382272222236
Al8Cu4Er,-1.9905618822222595
Al8Cu4Eu,-2.667256137222239
Al8Cu4Fe,1.4050259577777524
Al8Cu4Ga,-0.1440472422222143
Al8Cu4Ge,0.1052085327777803
Al8Cu4Hf,-0.5466182772222652
Al8Cu4Ho,-2.071242737222242
Al8Cu4In,-0.5828422722222086
Al8Cu4Ir,2.437454892777744
Al8Cu4K,-2.88945120222224
Al8Cu4La,-2.991758262222234
Al8Cu4Li,-0.7055715022222273
Al8Cu4Lu,-1.7599271372222276
Al8Cu4Mg,-0.628710732222224
Al8Cu4Mn,0.8674284277777815
Al8Cu4Mo,1.431591617777784
Al8Cu4Na,-1.66635523722222
Al8Cu4Nb,0.4746502227777896
Al8Cu4Nd,-2.68654602222221
Al8Cu4Ni,1.477855482777784
Al8Cu4Os,2.63138625277778
Al8Cu4Pb,-1.1356529722222248
Al8Cu4Pd,1.1339081927777812
Al8Cu4Pr,-2.7885427122222453
Al8Cu4Pt,1.8326858227777407
Al8Cu4Rb,-3.2112997072222527
Al8Cu4Re,2.4022027527777894
Al8Cu4Rh,1.817698657777747
Al8Cu4Ru,2.1114905427777657
Al8Cu4Sb,-0.2363821372222432
Al8Cu4Sc,-1.180316472222259
Al8Cu4Sm,-2.4990042772222125
Al8Cu4Sn,-0.5777803572222453
Al8Cu4Sr,-3.0748320422222406
Al8Cu4Ta,0.7283558727777759
Al8Cu4Tb,-2.2335116822222503
Al8Cu4Tc,1.9777784677777674
Al8Cu4Te,-0.138512922222219
Al8Cu4Ti,0.0724769177777915
Al8Cu4Tl,-0.9710751872222474
Al8Cu4Tm,-1.9155882272222229
Al8Cu4V,0.8040709427777486
Al8Cu4W,1.7564651777777627
Al8Cu4Y,-2.1660159422222094
Al8Cu4Zn,0.2283975627777437
Al8Cu4Zr,-0.832910067222258
